,mAbA7batch1-1a_1_C2,mAbA7batch1-1a_2_C2,mAbA9batch3-1_1_C2,mAbA9batch3-1_2_C2,mAbC1batch2-1_2_C2,mAbC1batch2-1_1_C2,mAbC3batch1-2_1_C2,mAbC3batch1-2_2_C2
corona2_9803,163.1906873947476,161.99940449305177,0.8540897675523111,1.6009589533753517,0.9603568443939388,0.3954700799911153,1.3266257499838023,4.013113597478466
corona2_5220,64.11579249432023,62.84162552494941,0.3117042880679929,0.5347982576177758,0.1930802743234062,0.3343889210552776,0.3340630178939968,3.3568762356720265
corona2_6072,11.13318549297042,8.533519067768184,2.3957295952634525,3.2801233332427087,3.85352273259029,4.474539990093872,3.0855870510965206,2.6667470078360567
corona2_3512,10.185818323032716,6.938687047209601,2.995706742673477,2.433700538697112,3.836039483172817,3.474371578039666,1.464102168615912,2.6705014618084237
corona2_10760,9.96410901051965,9.420251043956194,4.955185023034144,4.652401782561023,6.972243623644742,4.608390015167715,3.620228999153941,4.459741328308359
corona2_9157,8.545717043477223,6.845495576667438,2.463738142931417,4.063375451424084,4.432809012922464,4.645166651320624,4.536861474197831,3.5683713716911867
corona2_9082,8.058226695641851,3.2992094757919483,1.2722032522051534,1.3071962317005048,2.6324626515288467,3.2022799003315288,1.4061573838047694,1.860318545879606
corona2_10112,7.998887974133298,4.871190915624492,2.0657903797580985,1.286350760038648,2.005053628649618,2.1863142442367587,1.5721925796138252,1.8315211892834773
corona2_1674,7.897741188824316,3.9546325867327563,1.0002755855748937,1.1625258641849123,1.8472906044782689,1.9764381358967975,0.9963585853271828,0.9842884912680836
corona2_12988,7.732403755759496,5.922888711477102,1.8214568537689424,3.326950554250556,5.887701668133329,3.8006828736017035,2.420350443147329,4.7751840435707065
corona2_814,7.218268226179161,8.73233262764168,0.01602482140941771,0.12594478709755258,0.0040276888581694216,0.014840421329283137,0.13367139332141578,0.02525745419506232
corona2_8957,7.186386058079746,5.540448512614344,1.4668333720308606,2.1665103109653043,2.921628927370157,2.8655480585829656,2.4952714199295296,1.2681300013334815
corona2_9013,6.958751889274293,4.577536255340745,1.7093517565640026,2.1092724284872784,1.942286149227852,1.8571111058351264,1.8777589220922724,1.121135193225297
corona2_9014,6.726382810403589,4.44711164670319,1.9495277710479688,2.89701399591295,3.629467736268881,2.493004066988017,1.8489786376420883,1.3924695824533808
corona2_10974,6.659963493340844,3.944150401952883,2.0311470093557187,2.0162623516788893,4.4772782594371705,3.097762336486237,1.8838317957854185,3.0465361026077096
corona2_6528,6.483320643042163,4.996138208097689,2.700405682521511,3.854487526621929,4.360789474391724,2.5176999124126382,3.4008516238236814,2.5711077219237493
corona2_1333,6.420932488952119,5.702011834809233,1.5749068801372086,2.2899426973832577,3.019709450005163,2.6386619654965044,3.5846869329768265,2.084824384130404
corona2_11554,6.407726171814848,4.747655687900922,3.8440598109512103,2.7226462147425514,6.56945546586785,5.1347082411727385,2.8116201301776744,5.568382297629551
corona2_8934,6.381602376412068,4.979202632393112,2.205804366768412,2.8593840758395066,4.1915380542008345,1.883015637373815,3.2502305368307884,1.0858467810839434
corona2_5505,6.260705719366365,6.073160337660669,2.149282194125266,2.535714921070272,4.036667586759425,2.4911943508411043,1.981234564502496,1.6973567180460705
corona2_9028,6.227824656755803,5.3192726604951925,0.9639487843307224,1.6331447225359303,1.5182215992149095,1.9845688085781088,1.8085231863665432,1.5407034961243675
corona2_12022,6.053745422263009,7.392109991729074,2.713802313078077,3.229144288375783,2.6450638157517123,3.3646523587225783,2.57152819205767,1.4847505177724183
corona2_8644,5.788158193323512,4.680367805447813,2.887106207669992,3.640515298967794,4.582121400199884,3.1796528888858395,2.059385062979938,2.7143388880018993
corona2_9112,5.771151342880051,3.862677514509018,1.6587405126685926,0.9691904154410816,1.5508979386025854,1.480430716683336,1.671753073442578,1.1120243301570474
corona2_7708,5.743186662412728,3.4902441542703087,1.2583938986585754,1.5733210064010719,2.3442884720199904,2.871874698026334,1.2555441657305026,1.4669546664419115
corona2_7364,5.633717976409639,7.115541634593098,2.1776457497234376,3.249230109399772,3.0949591953734346,3.085616715271777,2.6649949151888266,4.771111037629131
corona2_5025,5.5928732890689385,5.2023082284970865,1.9148609247042665,2.2861480747718965,2.3891879553870488,3.404988396770648,1.4904448025053378,2.2084902357276657
corona2_10846,5.5644045510010285,4.6904415565217645,0.6533083175231567,0.17550889524904928,0.3882768527712605,0.2687292680095421,0.3508996350030425,0.26512221466699115
corona2_13047,5.49930672236124,3.645235032783108,1.6871147275547649,1.7225917255122458,2.2818295170036387,2.5412103025122073,0.963691770686144,1.6119107324617123
corona2_5304,5.3687927402891065,4.29645598426996,1.7411587761354967,3.6870396425378087,2.7320006913474515,2.924794045734339,1.5162704119991681,1.9794860853828684
corona2_1332,5.260534948562055,4.927849449616404,1.041929440579904,1.2256532955541044,1.5363769028700172,1.6497547298875508,1.4698963072701332,1.5501496629348397
corona2_3290,5.087968516428492,8.568052365890113,5.883079977310332,4.535531121613441,5.544279239116413,4.63002800672882,3.1550676427667037,4.616426762814432
corona2_8023,5.0690962644212325,3.26323628407554,2.00069038413008,2.128582905336072,1.7219271967670942,2.178197573174381,1.5381414432137783,1.8242767148011083
corona2_8491,5.052637249999902,3.5218755618040243,1.9491902339669245,1.5217127289446717,1.6095459396723666,2.3261846911959823,1.9374643434859304,0.5964593310053405
corona2_7841,4.698350125019438,4.5289021599796,2.4432485725459867,1.3498740343331432,1.8611246543264144,2.8501851857100795,2.3932040126966285,1.1738038500928438
corona2_9012,4.6854649648351225,4.135943592741622,2.227583277225032,1.7038540205125017,2.897524093578886,1.7872450562049322,2.2683688015376853,1.322406613036682
corona2_4573,4.6559354917624365,4.296970619595236,2.59412133889401,2.4954245758001345,4.526364113247639,3.4313360252059346,3.393722760131922,3.783613214745409
corona2_9623,4.491332339102144,2.541194634913518,2.3173796178693675,2.8336352568686443,3.1080713390553774,0.8617545011874514,2.8806104558118792,1.9485396698688358
corona2_5876,4.427387031887496,3.5829337143548137,0.7626393574974177,0.6000313717382706,1.0943995885703437,0.8167613658485232,0.5998117586210171,0.6076028519394687
corona2_7754,4.415781787907281,5.191881383970165,1.4642234527170368,2.63857518631017,1.825950411017464,1.898435202567851,2.2517208897856023,1.4283421061377446
corona2_606,4.1152012610712765,3.115391638590317,0.97447503153477,1.7154804729196598,3.2096427733164914,2.22178130739824,2.599381087825209,2.0051822603092098
corona2_1714,4.095148253231154,3.472411496948616,2.262541248902726,1.4019994763175558,2.080735111047604,2.2692652793305683,2.1702444302207007,3.4945945329662784
corona2_13121,4.054602540928326,3.645235032783108,2.09472012127093,2.3442612789615827,2.732363322228321,2.3115045898162383,2.619342671791053,2.9478169070985345
corona2_3482,4.054602540928326,4.7685958087379525,2.1638734266965103,2.4588390928645034,2.2818295170036387,4.282888731248732,1.57606552300068,1.992842643840196
corona2_4574,3.9534593222513665,4.458589882305128,2.2333268087223823,2.401504147651075,3.193589069143011,3.1650023763167465,2.619342671791053,1.7626935051412833
corona2_8993,3.888135411121264,4.037883903094817,0.8945081840898569,1.6495446320327003,2.417967699152051,2.095138646814539,1.3990808903754846,1.9197828838940287
corona2_5879,3.856472368122081,2.213524465301696,0.5305414329629824,1.2549883368757373,0.7047284506198006,1.2093366829020016,0.7042724858747015,0.6776469866280903
corona2_8645,3.8473012804877884,4.775674732477029,3.795387460696021,4.279295334664656,2.5659285988046316,4.348697317574561,3.9931700527314775,4.16448195309275
corona2_8767,3.8075148046955394,2.5172871027613897,2.185668009064137,3.0896969188913324,0.5587578219124012,2.215087681548149,2.067555334079595,1.6435562737549483
corona2_8157,3.7660562788656766,3.8522492244285313,1.7024032596519432,2.0227378636863573,2.78116002365084,1.779413130626054,0.9266088625883856,1.937873563158268
corona2_7262,3.736990843309296,3.9535836983648585,1.6209717786370017,1.6018952003175069,1.0905962310467805,1.4869659501198862,0.9281940886443196,0.6458118406592833
